iter	Passed	Remaining
652	8383	4454
653	8392	4439
654	8405	4427
655	8418	4414
656	8426	4399
657	8439	4386
658	8452	4373
659	8461	4358
660	8473	4345
661	8486	4333
662	8498	4319
663	8507	4305
664	8519	4291
665	8529	4277
666	8538	4262
667	8550	4249
668	8558	4234
669	8571	4221
670	8585	4209
671	8595	4195
672	8605	4181
673	8619	4168
674	8631	4155
675	8639	4140
676	8651	4127
677	8662	4114
678	8671	4099
679	8683	4086
680	8691	4071
681	8702	4057
682	8715	4045
683	8730	4033
684	8738	4018
685	8751	4005
686	8762	3992
687	8771	3977
688	8783	3964
689	8794	3951
690	8802	3936
691	8815	3923
692	8826	3910
693	8836	3896
694	8848	3883
695	8859	3869
696	8869	3855
697	8881	3842
698	8893	3829
699	8901	3815
700	8913	3802
701	8922	3787
702	8933	3774
703	8946	3761
704	8956	3747
705	8966	3733
706	8979	3721
707	8990	3708
708	8999	3693
709	9012	3681
710	9021	3666
711	9032	3653
712	9044	3640
713	9055	3627
714	9064	3613
715	9078	3600
716	9089	3587
717	9099	3573
718	9115	3562
719	9129	3550
720	9142	3537
721	9150	3523
722	9163	3510
723	9177	3498
724	9190	3485
725	9199	3471
726	9211	3459
727	9224	3446
728	9233	3432
729	9245	3419
730	9261	3408
731	9275	3396
732	9284	3382
733	9296	3369
734	9310	3356
735	9323	3344
736	9332	3330
737	9345	3317
738	9358	3305
739	9371	3292
740	9418	3292
741	9431	3279
742	9451	3269
743	9462	3256
744	9476	3243
745	9490	3231
746	9499	3217
747	9510	3203
748	9524	3191
749	9537	3179
750	9546	3165
751	9559	3152
752	9572	3139
753	9583	3126
754	9594	3113
755	9607	3100
756	9619	3088
757	9634	3075
758	9644	3062
759	9657	3049
760	9671	3037
761	9686	3025
762	9695	3011
763	9707	2998
764	9722	2986
765	9735	2974
766	9744	2960
767	9758	2947
768	9777	2936
769	9793	2925
770	9814	2915
771	9835	2904
772	9863	2896
773	9877	2884
774	9897	2873
775	9914	2861
776	9923	2848
777	9938	2835
778	9954	2823
779	9970	2812
780	9989	2801
781	10013	2791
782	10036	2781
783	10049	2768
784	10069	2757
785	10085	2745
786	10103	2734
787	10120	2722
788	10138	2711
789	10153	2699
790	10172	2687
791	10188	2675
792	10203	2663
793	10216	2650
794	10227	2637
795	10236	2623
796	10250	2610
797	10262	2597
798	10270	2583
799	10284	2571
800	10296	2558
801	10313	2546
802	10322	2532
803	10334	2519
804	10348	2506
805	10361	2494
806	10369	2479
807	10384	2467
808	10398	2455
809	10414	2442
810	10433	2431
811	10448	2419
812	10463	2406
813	10481	2395
814	10501	2383
815	10517	2371
816	10551	2363
817	10570	2351
818	10588	2340
819	10608	2328
820	10618	2315
821	10635	2302
822	10653	2291
823	10668	2278
824	10687	2267
825	10701	2254
826	10717	2242
827	10734	2229
828	10750	2217
829	10764	2204
830	10778	2192
831	10791	2178
832	10800	2165
833	10812	2152
834	10825	2139
835	10840	2126
836	10849	2112
837	10862	2099
838	10873	2086
839	10882	2072
840	10896	2060
841	10909	2047
842	10919	2033
843	10931	2020
844	10944	2007
845	10957	1994
846	10969	1981
847	10978	1967
848	10992	1955
849	11007	1942
850	11015	1928
851	11027	1915
852	11039	1902
853	11048	1888
854	11059	1875
855	11071	1862
856	11081	1849
857	11093	1835
858	11106	1823
859	11115	1809
860	11127	1796
861	11139	1783
862	11148	1769
863	11161	1756
864	11170	1743
865	11182	1730
866	11193	1717
867	11203	1703
868	11213	1690
869	11225	1677
870	11238	1664
871	11245	1650
872	11254	1637
873	11261	1623
874	11273	1610
875	11283	1597
876	11294	1584
877	11303	1570
878	11311	1557
879	11322	1544
880	11333	1530
881	11341	1517
882	11352	1504
883	11360	1490
884	11371	1477
885	11380	1464
886	11391	1451
887	11400	1437
888	11409	1424
889	11421	1411
890	11430	1398
891	11442	1385
892	11451	1372
893	11459	1358
894	11470	1345
895	11479	1332
896	11489	1319
897	11498	1306
898	11510	1293
899	11523	1280
900	11536	1267
901	11545	1254
902	11554	1241
903	11563	1227
904	11573	1214
905	11585	1202
906	11593	1188
907	11607	1176
908	11620	1163
909	11630	1150
910	11641	1137
911	11649	1124
912	11667	1111
913	11686	1099
914	11698	1086
915	11708	1073
916	11726	1061
917	11750	1049
918	11767	1037
919	11787	1024
920	11802	1012
921	11824	1000
922	11853	988
923	11876	976
924	11900	964
925	11919	952
926	11943	940
927	11964	928
928	11972	915
929	11987	902
930	12003	889
931	12018	876
932	12034	864
933	12048	851
934	12059	838
935	12068	825
936	12080	812
937	12089	799
938	12100	786
939	12113	773
940	12122	760
941	12132	747
942	12144	734
943	12152	720
944	12165	708
945	12179	695
946	12187	682
947	12198	669
948	12210	656
949	12218	643
950	12229	630
951	12241	617
952	12249	604
953	12264	591
954	12278	578
955	12288	565
956	12297	552
957	12310	539
958	12318	526
959	12328	513
960	12341	500
961	12350	487
962	12362	474
963	12372	462
964	12380	449
965	12392	436
966	12405	423
967	12413	410
968	12425	397
969	12433	384
970	12445	371
971	12457	358
972	12465	345
973	12477	333
974	12489	320
975	12497	307
976	12509	294
977	12518	281
978	12528	268
979	12539	255
980	12548	243
981	12559	230
982	12572	217
983	12584	204
984	12597	191
985	12612	179
986	12625	166
987	12639	153
988	12653	140
989	12663	127
990	12676	115
991	12690	102
992	12702	89
993	12710	76
994	12723	63
995	12732	51
996	12742	38
997	12755	25
998	12763	12
999	12774	0
